hotel_id,city,name,address,postalcode
480,Daytona Beach,Cozy Villa Motel,502 Ridgewood Ave,32117
481,Daytona Beach,Daytona Shores Inn And Suites,3221 S Atlantic Ave,32118
482,Daytona Beach,Famous Shores Motel,3738 S Atlantic Ave,32118
483,Daytona Beach,Grand Prix Motel,2015 S Atlantic Ave,32118
484,DeKalb,Red Roof Inn & Suites Dekalb,1212 W Lincoln Hwy,60115
485,DeLand,Hampton Inn Suites Deland,20 Summit Oak Pl,32720
486,DeLand,Riviera Resort & Marina,2760 Botts Landing Rd,32720
487,DeRidder,Best Western Plus Deridder Inn & Suites,1055 N Pine St,70634
488,Decatur,Quality Inn,1201 S 13th St,46733
489,Deer Park,Hampton Inn Houston Deer Park Ship Area,1450 Center St,77536
490,Deerfield,Courtyard Chicago Deerfield,800 Lake Cook Rd,60015
491,Deerfield,Residence Inn Chicago Deerfield,530 Lake Cook Rd,60015
492,Defiance,Holiday Inn Express Hotel & Suites Defiance,1148 Hotel Dr,43512
493,Delavan,Super 8 Delavan Near Lake Geneva,518 Borg Rd,53115
494,Deming,Holiday Inn Express Suites Deming Mimbres Valley,3801 E Cedar St,88030
495,Denton,Best Western Plus Denton Inn & Suites,2910 W University Dr,76201
496,Denton,Best Western Premier Crown Chase Inn & Suites,2450 Brinker Rd,76208
497,Denver,Aloft Denver Downtown,800 15th St,80202
498,Denver,Crossland Economy Studios Denver - Thornton,8750 Grant St,80229
499,Denver,Hampton Inn & Suites Denver Ap Gateway Park,4310 Airport Way,80239
500,Denver,Hampton Inn & Suites Denver Tech Center,5001 S Ulster St,80237
501,Denver,Primrose Motel,5450 Federal Blvd,80221
502,Denver,Red Lion Inn Suites Denver Airport,7010 Tower Rd,80249
503,Des Moines,Quality Inn,4950 NE 14th St,50313
504,Des Plaines,Best Western at OHare,10300 W Higgins Rd,60018
505,Des Plaines,Hampton Inn & Suites Rosemont Chicago O'hare,9480 W Higgins Rd,60018
506,Desert Hot Springs,Aqua Soleil Hotel And Mineral Water Spa,14500 Palm Dr,92240
507,Destin,Extended Stay America Destin - US 98 - Emerald Coast Pkwy.,4615 Opa Locka Ln,32541
508,Detroit,Aloft Detroit at The David Whitney,1 Park Ave,48226
509,Detroit,Sound Board,2901 Grand River Ave,48201
510,Dickinson,Hampton Inn & Suites Dickinson,110 14th St W,58601
511,Dickinson,My Place Hotel-dickinson Nd,2431 3rd Ave W,58601
512,Dickson,Econo Lodge Inn and Suites,1025 E Christi Dr,37055
513,Dillon,Best Western Paradise Inn,650 N Montana St,59725
514,Dodge City,Comfort Suites-dodge City,2700 W Wyatt Earp Blvd,67801
515,Dodge City,Hampton Inn & Suites Dodge City,4002 W Comanche St,67801
516,Doswell,Best Western Kings Quarters,16102 Theme Park Way,23047
517,Douglas,Sleep Inn Suites,508 Cortez Dr,82633
518,Dover,Dover Inn,428 N Dupont Hwy,19901
519,Dover,Super 8-dover,348 N Dupont Hwy,19901
520,Dover Plains,Foothills Motel,3234 Route 22,12522
521,Downsville,Downsville Motel,6945 River Road corner Routes 30 & 206,13755
522,DuPont,Hampton Inn & Suites Dupont,800 Station Dr,98327
523,Dublin,Cloverleaf Residence Suites,4130 Tuller Rd,43017
524,Dublin,Quality Inn Suites,3950 Tuller Rd,43017
525,Dublin,Sleep Inn Suites,5094 State Park Rd,24084
526,Dubois,Super 8 Dubois,1412 Warm Springs Dr,82513
527,Duluth,Extended Stay America Atlanta - Duluth,3430 Venture Pkwy,30096
528,Duncan,Hampton Inn Suites Greenville/Spartanburg I-85,108 Spartangreen Blvd,29334
529,Duncansville,Comfort Inn Duncansville - Altoona,130 Patchway Rd,16635
530,Dunedin,Best Western Plus Yacht Harbor Inn,150 Marina Plz,34698
531,Dunkirk,Best Western Dunkirk Fredonia Inn,3912 Vineyard Dr,14048
532,Dunn,Comfort Inn,131 Bud Hawkins Rd,28334
533,Durham,Aloft Durham Downtown,345 Blackwell St,27701
534,Durham,Homewood Suites By Hilton Raleigh-durham Ap/research Triangle,4603 Central Park Dr,27703
535,Durham,Millennium Hotel Durham,2800 Campus Walk Ave,27705
536,Durham,Quality Inn Suites Medical Park,3710 Hillsborough Rd,27705
537,Durham,Red Roof Inn Durham-duke University Medical Center,1915 N Pointe Dr,27705
538,East Dover,Cooper Hill Inn,117 Cooper Hill Rd,5341
539,East Peoria,Best Western Plus Peoria,300 Eastlight Ct,61611
540,East Sandwich,Sandy Neck Motel,669 Route 6a,02537-1472
541,East Springfield,Otsego Motel,5762 Us Highway 20,13333
542,East Syracuse,Americas Best Value Inn-east Syracuse,6608 Old Collamer Rd,13057
543,East Syracuse,Extended Stay America Syracuse - Dewitt,6630 Old Collamer Rd,13057
544,East Tawas,Tawas Bay Beach Resort,300 E Bay St,48730
545,Easton,Best Western Plus Easton Inn Suites,8708 Alicia Dr,21601
546,Easton,Hampton Inn Easton,8058 Ocean Gtwy,21601
547,Eastsound,Orcas Suites At Rosario,1600 Rosario Rd,98245
